,tweet_dt,topic,id,username,name,tweet,like_count,reply_count,retweet_count,created_at
4061,2020-05-27,Hongkongprotests,1265545560712511489,bookgirlfairy,Book girl fairy,@FT Why are they given the power to attack ordinary citizens? #HongKongProtests #HongKongPoliceState #StandWithHongKong,0,0,0,2020-05-27 07:29:09
4062,2020-05-27,Hongkongprotests,1265545465208229891,NoelFranca1,Noel Franca,"@WilliamYang120 To make sure #ProChinese law makers pass the controversial bill of national anthem,… https://t.co/8FUuCxtUKE",6,0,5,2020-05-27 07:28:46
4063,2020-05-27,Hongkongprotests,1265545444727361537,BlackWh45632484,小點子 Black&White 😷,"20200527 Today Hong Kong, #PoliceState every where.  
#StandWithHongKong #FreeHongKong #HongKongProtests… https://t.co/Xs1CmfACSo",1,0,1,2020-05-27 07:28:41
4064,2020-05-27,Hongkongprotests,1265545331225354245,venuslwy,VVY L.,Being young is a crime in Hong Kong. #HongKongProtests https://t.co/NFB5PCjsDa,1,0,1,2020-05-27 07:28:14
4065,2020-05-27,Hongkongprotests,1265545244680040451,NoelFranca1,Noel Franca,"@TwitterMoments To make sure #ProChinese law makers pass the controversial bill of national anthem,… https://t.co/P3syIVC6eN",3,0,1,2020-05-27 07:27:53
4066,2020-05-27,Hongkongprotests,1265545221900828675,CuriouserD,TheMadHatter,"when being young is a crime in #HongKong.
#HongKongProtests https://t.co/539ZeHMpIr",1,0,1,2020-05-27 07:27:48
4067,2020-05-27,Hongkongprotests,1265545197917798401,HKPepe7322,Pepe732,"Shooting peppy balls without a reason are INSANE 😠

#StandWithHongKong #HongKongProtests #HongKongPolice… https://t.co/AIB3o1j5a5",2,0,1,2020-05-27 07:27:42
4068,2020-05-27,Hongkongprotests,1265545165894291458,MikeChiuCorn,Mike Corn,"@realDonaldTrump 

why hkpolice shooting people in lunch time.....

#StandWithHongKong
#HongKongProtests… https://t.co/O8nEWkT3yL",1,0,1,2020-05-27 07:27:34
4069,2020-05-27,Hongkongprotests,1265545160819118080,FreedomHKG,Freedom HK,The #HKPolice are quashing out all crowds perceived to be part of the #HongKongProtests. Across the harbour in popu… https://t.co/F6q2bEduX7,1759,0,2133,2020-05-27 07:27:33
4070,2020-05-27,Hongkongprotests,1265545132474073090,Dman_87,Dman,"Both the HKSAR and CCP government targeting the young generation in HK, ethnic cleansing is happening in here.… https://t.co/qYKxvZrwDw",1,0,1,2020-05-27 07:27:26
4071,2020-05-27,Hongkongprotests,1265545127105302528,NoelFranca1,Noel Franca,"@washingtonpost To make sure #ProChinese law makers pass the controversial bill of national anthem,… https://t.co/13Tcqg73Xh",6,0,2,2020-05-27 07:27:25
4072,2020-05-27,Hongkongprotests,1265545034805493761,BillAgainst,你的用戶名稱已更改⁷,"#hongkongpolice hit the protester badly bruised 
#HongKong #HongKongProtests https://t.co/XivD0XvhzH",1,0,1,2020-05-27 07:27:03
4073,2020-05-27,Hongkongprotests,1265545019622072322,NoelFranca1,Noel Franca,"@RamyInocencio @CBSNews To make sure #ProChinese law makers pass the controversial bill of national anthem,… https://t.co/KL3agSEGdQ",6,0,3,2020-05-27 07:27:00
4074,2020-05-27,Hongkongprotests,1265544927393570820,loveiseasyas123,make love not war😷,Exact same thing happened in #HongKong last month where #HongKongPolice kneed on a guy’s neck. He died even before… https://t.co/gvxBl8ZhXX,2,0,2,2020-05-27 07:26:38
4075,2020-05-27,Hongkongprotests,1265544880350269441,littlepinkred2,littlepinkred,"This is how the police treat Hong Kong civilians. They have guns and we have umbrellas, so which side is the weakes… https://t.co/sMTZaZQGo0",1,0,1,2020-05-27 07:26:26
4076,2020-05-27,Hongkongprotests,1265544758505746434,masa_CW,Masa_CW😷,@BruceWayne852 @147Chau Sadly that Hong Kong has no more police force but the terrorists. #HongKongPoliceState #HongKongProtests,0,0,0,2020-05-27 07:25:57
4077,2020-05-27,Hongkongprotests,1265544668886032384,boboting2001,Bobo Ting,Hong Kong is no longer a safe place to live.  Walking on a street and get beaten by the police is becoming a normal… https://t.co/rF5vXXyqAm,0,0,0,2020-05-27 07:25:36
4078,2020-05-27,Hongkongprotests,1265544579769667585,teaislove_tea,maskman,"@benedictrogers The CCP supporters in green has brutally beaten (and probably killed) thousands of people already
W… https://t.co/jml9WkDqzW",6,0,4,2020-05-27 07:25:15
4079,2020-05-27,Hongkongprotests,1265544518289547265,sandyyip10,sandy yip,Police claimed something was threw and pepper-spray balls were shoot to the pedestrians! #HKpolicebrutality… https://t.co/yvuzWBNeIv,1,0,1,2020-05-27 07:25:00
